name;category
# Стартовый общий словарь: самые частые однословные позиции.
#
# Заливается в category_hints с user_id = 0:
#   docker compose exec php php bin/import-hints.php
#
# Записи намеренно короткие, в одно-два слова: CategoryHint::findByToken()
# сопоставляет слова пользовательского ввода с целыми записями словаря,
# поэтому «молоко» ловит и «молоко простоквашино 3.2%», и «пятёрочка молоко хлеб»,
# а длинная формальная запись не поймает ничего.
#
# Категории обязаны совпадать с системными из init.sql — остальные строки
# импортёр отбросит и посчитает.

# --- еда
молоко;еда
хлеб;еда
батон;еда
сыр;еда
масло;еда
яйца;еда
мясо;еда
курица;еда
фарш;еда
рыба;еда
колбаса;еда
сосиски;еда
творог;еда
кефир;еда
йогурт;еда
сметана;еда
крупа;еда
рис;еда
гречка;еда
макароны;еда
мука;еда
сахар;еда
соль;еда
чай;еда
кофе;еда
овощи;еда
фрукты;еда
картошка;еда
помидоры;еда
огурцы;еда
яблоки;еда
бананы;еда
лук;еда
морковь;еда
конфеты;еда
шоколад;еда
печенье;еда
вода;еда
сок;еда
пятерочка;еда
магнит;еда
перекресток;еда
лента;еда
ашан;еда
дикси;еда
продукты;еда

# --- кафе и рестораны
кафе;кафе и рестораны
ресторан;кафе и рестораны
столовая;кафе и рестораны
обед;кафе и рестораны
завтрак;кафе и рестораны
ужин;кафе и рестораны
пицца;кафе и рестораны
шаурма;кафе и рестораны
бургер;кафе и рестораны
суши;кафе и рестораны
роллы;кафе и рестораны
кофейня;кафе и рестораны
латте;кафе и рестораны
капучино;кафе и рестораны
бар;кафе и рестораны
доставка еды;кафе и рестораны

# --- транспорт
такси;транспорт
метро;транспорт
автобус;транспорт
трамвай;транспорт
троллейбус;транспорт
маршрутка;транспорт
электричка;транспорт
поезд;транспорт
самолет;транспорт
билет;транспорт
бензин;транспорт
заправка;транспорт
парковка;транспорт
каршеринг;транспорт
самокат;транспорт
проездной;транспорт
шиномонтаж;транспорт
автомойка;транспорт

# --- жилье
аренда;жилье
квартплата;жилье
ипотека;жилье
риелтор;жилье

# --- коммуналка
электричество;коммуналка
газ;коммуналка
отопление;коммуналка
интернет;коммуналка
связь;коммуналка
домофон;коммуналка

# --- одежда
футболка;одежда
рубашка;одежда
джинсы;одежда
брюки;одежда
куртка;одежда
пальто;одежда
платье;одежда
свитер;одежда
носки;одежда
белье;одежда
обувь;одежда
кроссовки;одежда
ботинки;одежда
шапка;одежда
перчатки;одежда
ремень;одежда

# --- развлечения
кино;развлечения
театр;развлечения
концерт;развлечения
музей;развлечения
выставка;развлечения
боулинг;развлечения
подписка;развлечения
игра;развлечения
книга;развлечения
квест;развлечения
бассейн;развлечения

# --- здоровье
аптека;здоровье
лекарства;здоровье
таблетки;здоровье
витамины;здоровье
врач;здоровье
анализы;здоровье
стоматолог;здоровье
поликлиника;здоровье
массаж;здоровье
очки;здоровье
линзы;здоровье

# --- гигиена
шампунь;гигиена
мыло;гигиена
зубная паста;гигиена
щетка;гигиена
дезодорант;гигиена
бритва;гигиена
салфетки;гигиена
туалетная бумага;гигиена
прокладки;гигиена
крем;гигиена
парикмахерская;гигиена
стрижка;гигиена
маникюр;гигиена

# --- техника
наушники;техника
смартфон;техника
ноутбук;техника
монитор;техника
клавиатура;техника
мышь;техника
зарядка;техника
кабель;техника
флешка;техника
батарейки;техника
лампочка;техника

# --- товары для дома
порошок;товары для дома
моющее;товары для дома
губки;товары для дома
пакеты;товары для дома
посуда;товары для дома
полотенце;товары для дома
постельное;товары для дома
шторы;товары для дома
мебель;товары для дома
инструменты;товары для дома
фикспрайс;товары для дома

# --- домашние животные
корм;домашние животные
наполнитель;домашние животные
ветеринар;домашние животные

# --- спортпит
протеин;спортпит
креатин;спортпит
гейнер;спортпит
бцаа;спортпит
спортзал;спортпит
абонемент;спортпит
